Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-474.24084	145.08128	-91.06817	-732.7134	108.888885	-0.31569895	0.38596806	0.28714207	-1.6575483	4000	-0.0028235398	62839.727	-0.0005062483	-1023.8633	1.8369066	-7.827958e-05	4.789210319519043
1	-470.6407	145.02408	-75.14763	-768.2701	107.10811	-2.497199	1.3709242	-0.69471675	-7.3298416	8000	-0.012363887	64101.77	-0.0006321296	-1810.6992	1.8176314	0.0002755553	9.017775058746338
2	-461.29028	139.08058	3.0868168	-636.1493	111.6	-6.127909	2.8871024	-1.3459766	-15.486521	12000	0.006201699	57464.01	-0.0005890415	-2747.5547	1.8213936	0.00024119209	13.23703646659851
3	-456.4769	122.01495	-41.692326	-695.27216	102.48718	-12.80877	5.5398326	-3.5069132	-37.042477	16000	0.014806547	55263.695	-0.00070658885	-4025.0547	1.8234226	1.55434e-05	17.45763659477234
4	-419.4418	159.44385	-97.65501	-729.6258	103.8421	-20.311897	10.657414	-4.2386093	-59.206776	20000	-0.0102101555	45437.6	-0.0006288737	-3888.3047	1.8406125	-1.8059553e-05	21.646438598632812
5	-422.16415	124.99261	-125.57669	-696.7612	108.916664	-31.996256	15.396679	-8.962457	-92.1992	24000	0.015828338	38690.496	-0.0005765427	-3680.5664	1.8478603	-0.00020029607	25.88143539428711
6	-467.23737	120.74353	-248.81065	-770.2848	114.35294	-44.65736	18.894018	-15.931728	-126.14107	28000	-0.0037965765	39748.92	-0.00037815608	-5159.6406	1.8460578	9.880024e-05	30.19727325439453
7	-407.16043	172.8712	-61.542526	-777.0789	108.861115	-57.28109	26.906864	-0.044164747	-157.16302	32000	0.0066464683	32011.99	-0.0005118791	-4298.6465	1.8166984	-0.00017531343	34.49971413612366
8	-445.23572	119.24293	-152.30957	-678.5283	110.833336	-73.749565	33.368538	-6.231919	-181.37158	36000	-0.0069825505	28720.107	-0.00064337626	-4241.8105	1.8316135	-0.000113187925	38.7795569896698
9	-419.42667	144.85342	-124.25418	-740.1167	102.052635	-93.762825	36.407635	-35.502636	-271.79285	40000	-0.003441	23582.271	-0.0008155778	-3513.873	1.8332634	-2.0805775e-05	43.243435859680176
