Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-201.01958	114.21673	5.2571716	-561.2658	119.393936	-0.26384112	0.3078398	0.7227223	-1.2239882	4000	-0.01604746	12775.898	-0.0007691812	-417.09277	1.8369066	2.9928118e-05	4.786852836608887
1	-186.66763	106.96134	23.880823	-450.20914	107.297295	-2.4238262	0.9561697	0.55628127	-4.604435	8000	0.027935551	11771.388	-0.0005488824	-570.5947	1.8170316	0.00037157966	8.85802674293518
2	-221.80461	88.19685	-39.218315	-429.46487	119.242424	-5.183384	1.2800355	-1.5435662	-9.294585	12000	0.011507188	11949.546	-0.0001778137	-818.6211	1.820963	-6.62758e-05	13.073679208755493
3	-190.908	101.599525	-43.846645	-434.6942	112.828575	-9.453008	0.7712455	-6.6065764	-13.381827	16000	-0.0045274734	9801.547	-0.0003215354	-669.3291	1.8231077	0.00012556532	17.23551082611084
4	-162.87889	93.41199	8.133523	-436.0736	147.18518	-12.400725	2.7865763	-0.45167652	-17.366373	20000	-0.027754162	6115.313	-0.00013586879	-276.5835	1.8402435	-0.00013671227	23.634472370147705
5	-158.50381	113.72377	-6.3673797	-439.60553	141.46428	-15.634334	2.1165612	-0.34950593	-19.707737	24000	0.027710877	6298.837	-0.00014411286	-251.52588	1.8474104	-2.208051e-05	29.420430660247803
6	-135.50633	79.96397	-17.491215	-324.50394	118.09091	-18.590551	1.3824378	-0.4087536	-22.355461	28000	0.018474046	4184.5527	-0.00021494925	-271.64575	1.8455857	-1.840666e-05	33.718053579330444
7	-163.6938	83.77211	-36.487236	-425.31476	106.64865	-21.65141	0.8740579	-5.8180933	-24.81293	32000	0.0037946375	5575.975	-0.00015719887	-430.53076	1.8163366	-5.7241887e-05	37.86129069328308
8	-177.63795	92.42108	11.504347	-450.6962	121.030304	-24.695793	2.7024665	-7.1143765	-28.219099	36000	-0.00021301722	6130.428	-0.00028314354	-408.38916	1.8313317	-9.883693e-05	42.20022130012512
9	-176.11127	80.50271	-52.300453	-419.87448	107.4054	-28.924269	0.9033929	-25.6471	-31.448734	40000	-0.010607557	6111.5864	-0.00027147494	-436.38232	1.8330775	7.725082e-05	46.584068059921265
