Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-230.13774	116.135445	-7.3722577	-439.70648	96.268295	-0.24622986	0.12998416	0.10783883	-0.8028589	4000	-0.024202373	17984.26	-0.0011696182	-4104.7266	1.8524345	0.00058105495	5.154015064239502
1	-202.1135	125.199135	-52.073677	-543.738	94.52381	-17.438635	3.4283104	-10.3757515	-44.526775	8000	0.013002019	13111.986	-0.001140045	-9243.387	1.8565654	9.4882605e-05	9.626136779785156
2	-185.3952	91.26379	-51.64549	-370.8842	97.439026	-99.72164	20.077091	-46.67044	-313.85886	12000	-0.006200682	2332.4158	-0.0009711939	-267.94214	1.8584176	0.00017029526	14.143577337265015
3	-186.43503	114.970894	-37.975723	-458.39108	101.589745	-97.28077	20.312105	-58.627182	-219.52853	16000	0.022750584	2405.911	-0.0007909816	-220.34131	1.8660058	6.946017e-05	18.703628540039062
4	-190.11304	112.43567	-4.629131	-420.62683	100.76923	-101.44624	21.46619	-42.17641	-397.90256	20000	0.0011152568	2667.154	-0.00076064304	-161.70166	1.8412802	0.00013051346	23.308362245559692
5	-173.66148	99.12237	-11.754671	-433.7184	93.2381	-100.51264	23.174152	-48.717308	-302.63177	24000	-0.0062994715	2239.7783	-0.0012732721	-157.87964	1.8167922	7.413742e-05	27.809492826461792
6	-158.794	107.67698	60.63205	-432.70206	131.46666	-80.882645	28.62969	-26.496145	-250.45459	28000	0.013112639	2830.0315	-0.0004168395	-399.85596	1.838289	-1.3700038e-05	34.84895610809326
7	-215.13992	108.66813	-79.7339	-480.83997	100.948715	-86.005226	22.593206	-22.711327	-246.65208	32000	-0.007776213	3233.5166	-0.0012553427	-883.4785	1.8439305	0.00013535503	39.93709421157837
8	-159.7933	94.249245	10.0367	-442.06186	106.75676	-102.39475	25.51181	-17.692717	-347.10892	36000	0.01756278	2595.1235	-0.00071848556	-617.3148	1.8199589	-1.3762713e-07	44.77835464477539
9	-191.92976	109.33913	-46.57321	-515.9361	99.375	-85.997185	26.625854	-22.906109	-307.80502	40000	0.007928798	2703.464	-0.001231995	-243.72852	1.8604041	0.0001670641	49.54181408882141
